trait_id,career_name,O,C,E,A,N
1164,Customer Relations Rep,0.56,0.57,0.67,0.74,0.5
1165, Data & Applied Scientist,0.82,0.84,0.39,0.7,0.23
1166, IT Director – Data and Analytics,0.72,0.88,0.26,0.62,0.31
1167, Warehouse Operations Analyst,0.85,0.84,0.41,0.64,0.36
1168,Customer Service Rep I,0.67,0.73,0.63,0.67,0.53
1169,Informatica ETL Developer,0.78,0.83,0.32,0.35,0.32
1170,Reverse Logistics Coordinator (RMA),0.6,0.59,0.7,0.61,0.5
1171,CHICAGO Campus Recruiting 2018 - I &D - Data Analyst,0.68,0.94,0.42,0.72,0.28
1172,Warehouse Associate II,0.5,0.73,0.65,0.8,0.62
1173,Associate Solutions Consultant,0.44,0.8,0.65,0.88,0.64
1174,Big Data Consultant - Data Delivery,0.74,0.9,0.3,0.71,0.32
1175, Accounting Administrator,0.39,0.75,0.78,0.97,0.58
1176," Graduate, Information Technology 2019",0.6,0.72,0.68,0.64,0.5
1177, Warehouse Operator 2,0.59,0.68,0.62,0.75,0.5
1178,Lead Fulfillment Associate (ACY1),0.6,0.76,0.98,0.91,0.54
1179,Administrative Support,0.49,0.82,0.75,0.84,0.59
1180,"Operations Supervisor - Houston, TX",0.4,0.88,0.72,0.99,0.61
1181,Quality Specialist,0.68,0.66,0.58,0.63,0.42
1182, Inventory Control Associate,0.47,0.79,0.81,0.84,0.53
1183," Sr Analyst, Reporting & Analytics",0.73,0.94,0.39,0.63,0.3
1184," VP, League-Wide Data & Analytics",0.67,0.95,0.38,0.61,0.32
1185," Associate Director, Logistics",0.52,0.84,0.83,0.88,0.5
1186, Data Warehouse/Business Intelligence Developer,0.79,0.91,0.38,0.67,0.38
1187,Service Administrator,0.37,0.77,0.7,1.0,0.58
1188,Traffic Analyst,0.8,0.89,0.29,0.6,0.26
1189," Industrial Engineer, Warehousing and Logistics",0.78,0.85,0.3,0.53,0.34
1190,CMMS Administrator,0.42,0.77,0.65,0.94,0.67
1191,Warehouse Manager,0.53,0.68,0.96,0.87,0.46
1192,Material Handler II - Forklift - B36 3rd Shift,0.67,0.61,0.62,0.7,0.56
1193," Product Manager, Bundling",0.58,0.84,0.88,0.9,0.55
1194,Supply Technician (OA),0.73,0.73,0.57,0.74,0.57
1195," Fall 18' Intern - Information Technology, Business Intelligence",0.71,0.59,0.71,0.72,0.46
1196, A1702: Material Rep,0.74,0.56,0.58,0.66,0.52
1197, Logistics Operations Coordinator,0.48,0.7,0.84,0.81,0.53
1198, Big Data - Big Data Platform Intern,0.65,0.86,0.44,0.68,0.36
1199,Program Manager I,0.5,0.76,0.89,0.85,0.46
1200, Inventory Planner,0.69,0.65,0.7,0.65,0.43
1201,Cutting Room Supervisor,0.68,0.58,0.72,0.67,0.43
1202, Material Handler II B45-Receiving-1st Shift,0.74,0.65,0.56,0.68,0.45
1203,B36 - 1st Shift - Shipping - Forklift,0.71,0.71,0.75,0.65,0.49
1204,WAREHOUSE SUPERVISOR,0.7,0.58,0.66,0.66,0.42
1205, Material Handler - 1st Shift,0.63,0.72,0.72,0.57,0.42
1206,Administrative Assistant - Warehouse Operations,0.4,0.87,0.68,0.94,0.52
1207, Data Warehouse Analyst,0.77,0.82,0.41,0.6,0.33
1208, Data warehousing ETL DataStage,0.7,0.89,0.42,0.58,0.37
1209,"Business Intelligence Program Manager, Google Data Centers",0.77,0.78,0.34,0.58,0.34
1210,Training Specialist,0.8,0.77,0.35,0.71,0.39
1211, Driver Services Representative,0.65,0.74,0.66,0.63,0.57
1212,Data Solutions Designer (App Sys Eng 6),0.75,0.84,0.35,0.72,0.37
1213,Accounts Payable Representative,0.63,0.62,0.65,0.66,0.45
1214,Data Integration Analyst,0.81,0.85,0.32,0.57,0.25
1215, Data Analyst - Finance,0.84,0.81,0.28,0.64,0.26
1216, Operational Analyst,0.66,0.81,0.36,0.66,0.27
1217,Senior Quality Assurance Analyst,0.74,0.94,0.33,0.6,0.25
1218, Inventory Control Specialist,0.64,0.7,0.59,0.69,0.4
1219, Brighter - Data Developer,0.73,0.91,0.32,0.66,0.24
1220,Material Handler I,0.7,0.56,0.72,0.59,0.57
1221,A1702: Material Rep,0.62,0.69,0.61,0.73,0.43
1222,Warehouse Lead,0.54,0.75,0.82,0.79,0.64
1223," VP of Technology, eCommerce",0.7,0.73,0.98,0.86,0.5
1224," Sr. ETL Developer, Data Services",0.79,0.88,0.45,0.6,0.33
1225, Shipping and Receiving Specialist,0.56,0.57,0.55,0.75,0.56
1226, BURBANK Campus Recruiting 2018 - I&D - Data Analyst,0.81,0.85,0.31,0.58,0.26
1227," Developer Advocate, Data Analytics",0.73,0.9,0.36,0.57,0.2
1228,Technical Recruiter - LifeScience/Pharma,0.82,0.53,0.74,0.73,0.51
1229, Fulfillment Coordinator,0.64,0.62,0.57,0.73,0.56
1230,Supply Chain Specialist,0.68,0.85,0.35,0.68,0.39
1231,Marketing Planning Data & Consumables Analyst,0.77,0.86,0.26,0.56,0.24
1232, IT Business Analytics & Data Warehousing - Officer Level,0.66,0.9,0.39,0.58,0.37
1233,Warehousing Specialist 11 a.m. - 7 p.m.,0.58,0.61,0.6,0.62,0.45
1234, Operations Program Management,0.45,0.78,0.85,0.81,0.53
1235,Customer Service Agent,0.56,0.68,0.56,0.72,0.5
1236,International Logistics & Compliance Manager,0.61,0.76,0.83,0.79,0.51
1237, DALLAS Campus Recruiting 2018 - I&D - Data Analyst,0.77,0.79,0.27,0.74,0.2
1238, Staten Island Lead Fulfillment Associate,0.66,0.81,0.86,0.78,0.48
1239, Material Handler I - Weekend Part Time - 75236- Duncanville/ Grand Prairie,0.79,0.88,0.41,0.74,0.34
1240,USDA Commodities Specialist,0.58,0.6,0.72,0.59,0.41
1241,Warehouse Worker,0.69,0.63,0.73,0.68,0.42
1242,Logistics Supervisor,0.74,0.6,0.62,0.63,0.41
1243,"Dispatch Specialist - Chesapeake, VA",0.65,0.57,0.63,0.62,0.55
1244, Data Analyst Lead - Sesame Data Replication Specialist,0.81,0.78,0.32,0.62,0.23
1245,Receiving Clerk,0.71,0.69,0.59,0.62,0.42
1246,Accounts Payable Clerk,0.68,0.57,0.75,0.71,0.48
1247,Shop Clerk,0.67,0.73,0.66,0.58,0.48
1248,"Associate, Software Engineering, Corporate Technology Data Acquisition",0.82,0.88,0.38,0.72,0.38
1249,"Data Analyst Modeler, VP",0.83,0.77,0.36,0.7,0.35
1250," Director, Business Analysis and Analytics",0.62,0.68,0.96,0.89,0.47
1251,Warehouse 6am-2:30PM m/f $500.00 Sign on Bonus!,0.64,0.58,0.62,0.55,0.48
1252, ETL/Data Integration Consultant - Information Delivery,0.76,0.87,0.38,0.72,0.24
1253,Material Handler I- 2nd Shift- Duncanville/ Grand Prairie Area,0.67,0.92,0.28,0.74,0.37
1254, Planner,0.65,0.75,0.57,0.61,0.53
1255,"Senior Process Modeling Engineer, Warehousing & Logistics",0.77,0.99,0.31,0.46,0.27
1256,Operations Supervisor,0.48,0.75,0.72,0.97,0.54
1257, WHSE Inventory Specialist - Receiving,0.72,0.66,0.7,0.69,0.44
1258, Analyst III - Data Integration,0.76,0.92,0.34,0.74,0.29
1259, VP - Financial Reporting & Data Analyst,0.68,0.83,0.44,0.61,0.37
1260,BI Developer,0.88,0.87,0.32,0.49,0.21
1261,Supply Chain Data Analyst 1,0.81,0.84,0.35,0.71,0.28
1262,RMA Associate Return Merchandise Authorization,0.44,0.78,0.72,0.91,0.66
1263,Finance Data Engineer,0.72,0.85,0.38,0.6,0.26
1264, Product Safety Manager,0.69,0.79,0.92,0.88,0.46
1265, Office Administrator,0.47,0.8,0.76,0.87,0.52
1266,Business/ Data Analyst,0.69,0.94,0.33,0.64,0.21
1267," Sr. Manager, Business Data Analytics",0.66,0.89,0.36,0.65,0.25
1268," Manager, UX Research & Analytics",0.8,0.78,0.29,0.64,0.26
1269," Strategy Manager, Infra Data Centers",0.7,0.88,0.38,0.71,0.28
1270, Boston Data & Analytics Business Intelligence Manager,0.66,0.8,0.45,0.67,0.34
1271,Manager of Business Analytics – Dodger Stadium,0.5,0.75,0.81,0.86,0.63
1272, MANAGER-MARKETING ANALYTICS,0.69,0.76,0.89,0.94,0.58
1273,Data Developer - Analytics/Spotfire,0.66,0.84,0.3,0.64,0.29
1274, Manager - Data Analytics,0.77,0.82,0.28,0.65,0.37
1275, Investigative and Deal Accounting Analytics Manager,0.63,0.72,0.99,0.93,0.49
1276,Assistant Manager of Analytics and Donor Research,0.66,0.9,0.42,0.74,0.38
1277,Investment Data Manager,0.77,0.86,0.26,0.6,0.29
1278,"Product Manager, Data & Analytics",0.78,0.86,0.4,0.61,0.31
1279,Marketing Recruiter,0.82,0.53,0.7,0.74,0.55
1280,"Client Solutions Manager, Seattle",0.56,0.75,0.87,0.84,0.62
1281,"MANAGER, ANALYTICS CONSULTING TEAM",0.64,0.83,0.84,0.92,0.46
1282, Data Delivery - Data Governance and Quality - Manager,0.83,0.82,0.31,0.65,0.39
1283,"Manager, Site Analytics Samsclub.com",0.51,0.72,0.97,0.83,0.49
1284,"Project Manager, Data",0.73,0.83,0.43,0.7,0.3
1285, Manager - Data & Analytics,0.85,0.84,0.26,0.6,0.29
1286,Stakeholder Insights and Analytics Manager,0.53,0.84,0.95,0.8,0.57
1287, Employee Fraud Detection Risk Manager - Monitoring and Analytics,0.64,0.84,0.98,0.85,0.6
1288,Data Analytics Manager - DI &A Audit Team,0.76,0.86,0.27,0.58,0.31
1289,Manager - Customer Data Analytics,0.7,0.75,0.39,0.56,0.32
1290, Tower / Delivery Lead-Data and Analytics,0.76,0.94,0.35,0.56,0.31
1291, Analyst/Senior Analyst/Manager - Business Analytics (E),0.82,0.95,0.34,0.61,0.38
1292,"Manager, Business Intelligence & Analytics",0.54,0.77,0.88,0.76,0.52
1293, Data Analysis and Assessment Manager,0.7,0.89,0.44,0.6,0.36
1294,Analytics Project Manager (SSS III) - Information Services,0.51,0.76,0.81,0.94,0.6
1295,"Manager, Data and Analytics",0.78,0.91,0.38,0.74,0.34
1296,MANAGER PERFORMANCE ANALYTICS,0.68,0.75,0.82,0.86,0.48
1297,"Data Science Manager, Analytics (Ads)",0.77,0.85,0.37,0.55,0.24
1298,Project Manager Big Data Analytics,0.75,0.94,0.33,0.63,0.34
1299, Payments Compliance Data Analytics Manager,0.77,0.81,0.33,0.59,0.39
1300, People Analytics Manager,0.53,0.72,0.81,0.79,0.61
1301, Appointment Operations Manager,0.54,0.67,0.89,0.75,0.47
1302,"Manager, Customer Modeling & Predictive Analytics",0.66,0.8,0.98,0.92,0.59
1303," Manager, Data Analytics",0.66,0.91,0.42,0.71,0.3
1304,Data and Evaluation Manager,0.7,0.92,0.4,0.75,0.23
1305," Sr Manager / Director, Data Engineering and Analytics",0.7,0.79,0.41,0.59,0.21
1306,HR Business Analytics Manager,0.7,0.65,0.97,0.82,0.62
1307,Program Manager - Supply,0.61,0.83,0.99,0.75,0.47
1308,"Manager, Customer Success & Strategy, BPO's",0.55,0.78,0.98,0.84,0.57
1309," Manager, Finance - Financial Planning & Analysis",0.54,0.81,0.99,0.8,0.55
1310,"Smashbox - Manager, Consumer Engagement, Insights and Analytics",0.52,0.76,0.9,0.78,0.54
1311,Data Visualization Specialist,0.72,0.85,0.37,0.55,0.35
1312,Master Data Management (MDM) Manager,0.79,0.82,0.26,0.7,0.39
1313, Data Analytics Specialist,0.7,0.81,0.29,0.67,0.23
1314," Supervisor, Quality Program Analytics",0.62,0.69,0.66,0.63,0.48
1315," Manager, Business Insights and Analytics",0.61,0.65,0.82,0.93,0.47
1316,"Consultant, People Analytics",0.69,0.73,0.6,0.62,0.51
1317," Data Analytics & Burn Cycle Time Program Manager - Austin, TX",0.83,0.94,0.4,0.57,0.33
1318, Manager Enterprise Data Architecture,0.73,0.84,0.26,0.59,0.36
1319," Manager, Data Governance and Integration DVACO",0.74,0.81,0.33,0.72,0.35
1320, Associate Data Product Manager,0.7,0.77,0.3,0.73,0.32
1321," Senior Manager, Data Analytics & Reporting",0.76,0.87,0.32,0.71,0.3
1322,Manager of Data Analytics,0.67,0.78,0.36,0.74,0.26
1323," Manager, Data Analysis",0.82,0.9,0.3,0.56,0.22
1324,"Manager, Contract and Program Services",0.65,0.69,0.87,0.85,0.6
1325, Data & Analytics Product Manager,0.67,0.83,0.35,0.66,0.36
1326, Director of Data Analytics,0.68,0.91,0.39,0.66,0.34
1327, Secondary Marketing Analytics Manager,0.58,0.68,0.93,0.85,0.58
1328,Manager IV,0.57,0.83,0.92,0.77,0.54
1329,Project Manager -Reporting & Analytics,0.65,0.81,0.9,0.93,0.5
1330,Recruiter,0.88,0.63,0.73,0.74,0.52
1331,Senior Analytics Manager,0.52,0.82,0.86,0.79,0.5
1332,Customer Analytics Manager,0.58,0.7,0.86,0.78,0.51
1333,Analytics Manager,0.61,0.74,0.87,0.9,0.63
1334, Data Insights Manager,0.8,0.82,0.4,0.58,0.23
1335," Manager, Site Analytics and Optimization",0.57,0.81,0.85,0.76,0.48
1336,"Manager, Analytics",0.67,0.78,0.85,0.86,0.56
1337," Sr. Product Manager, Data & Analytics (Walmart Mexico)",0.78,0.8,0.42,0.61,0.34
1338, Manager Marketing Analytics,0.5,0.72,0.87,0.86,0.46
1339,"associate strategy manager, Testing Analytics- Seattle, WA",0.66,0.69,0.94,0.91,0.56
1340,"Data Science Manager, Analytics Ads & Business Platform",0.8,0.88,0.32,0.71,0.26
1341,Business Analytics Program Manager,0.61,0.8,0.88,0.81,0.54
1342, Project Manager Big Data Analytics,0.81,0.94,0.36,0.68,0.38
1343," Manager - Data Manager, Department of Population Health",0.67,0.8,0.39,0.71,0.37
1344, Sr. Data Analytics Manager,0.73,0.77,0.34,0.6,0.26
1345," Director, Analytics BMG",0.65,0.67,0.97,0.84,0.57
1346, Data Analytics & Solutions Manager,0.67,0.82,0.27,0.74,0.36
1347," Product Manager, GTM Analytics Data",0.74,0.79,0.44,0.62,0.23
1348,"Quality Assurance Manager, Data Analytics",0.76,0.94,0.25,0.6,0.39
1349,Manager of Customer and Category Management,0.53,0.67,0.91,0.92,0.55
1350,"Manager, Customer Analytics- Dates and Reservations",0.7,0.79,0.81,0.95,0.53
1351," Manager, Data and Audience Activation",0.71,0.86,0.31,0.57,0.2
1352,Project Manager and Analytics Specialist IV (Smart Mobility Strategist),0.59,0.82,0.91,0.95,0.51
1353, Enterprise Data Analytics BI Project Manager,0.71,0.78,0.28,0.61,0.36
1354," MANAGER, DATA AND BUSINESS ANALYTICS",0.83,0.95,0.3,0.73,0.27
1355, Vendor Operations and Compliance Manager,0.52,0.82,0.93,0.78,0.54
1356,"Data Engineering Manager, Product Analytics",0.71,0.9,0.34,0.75,0.21
1357, CX - Data Science Manager,0.72,0.85,0.35,0.61,0.35
1358,Business Analytics Specialist,0.72,0.74,0.71,0.72,0.51
1359," Manager, Business Intelligence & Data Analytics",0.82,0.81,0.33,0.61,0.29
1360,Category Analytics Manager - Amazon,0.56,0.84,0.86,0.77,0.56
1361, Manager 2 Data and Analytics,0.66,0.77,0.29,0.64,0.29
1362,Test and Target Manager,0.66,0.8,0.89,0.82,0.51
1363,Manager Advanced Analytics Job,0.65,0.66,0.8,0.91,0.55
1364, Portfolio Analytics Manager,0.53,0.7,0.99,0.92,0.59
1365,"Director of Analytics, Research, and Measurement",0.75,0.85,0.45,0.74,0.24
1366,Marketing Analytics Manager,0.66,0.69,0.84,0.89,0.53
1367,Senior Structuring and Data Science Analyst (315),0.84,0.77,0.35,0.73,0.38
1368,Products Data Manager,0.68,0.82,0.37,0.58,0.39
1369,"Professional, Data Fulfillment",0.83,0.78,0.27,0.57,0.38
1370,Operations Manager (Seattle) - JUMP,0.54,0.73,0.89,0.87,0.46
1371, Deputy Chief Information Officer - Data and Information Management,0.7,0.94,0.43,0.71,0.2
1372," Strategy and Operations Manager, Data Strategy and Enablement (Americas)",0.72,0.88,0.31,0.73,0.33
1373, Analytics Manager - Data Science,0.66,0.93,0.44,0.57,0.31
1374, Project Manager & Analytics Specialist III,0.56,0.73,0.84,0.87,0.64
1375,"Director, Data & Analytics",0.75,0.77,0.37,0.62,0.37
1376,Data Analytics & Reporting Manager,0.74,0.79,0.29,0.7,0.25
1377,"Account Manager, Travel",0.65,0.69,0.86,0.84,0.64
1378,"Manager, Supply Chain Analytics",0.84,0.79,0.32,0.58,0.3
1379,"Senior Manager, Data Analytics",0.74,0.93,0.44,0.63,0.3
1380, Director Digital and Data Technologies,0.83,0.91,0.25,0.61,0.28
1381,Entry-Level Project Manager,0.55,0.69,0.81,0.88,0.5
1382,Manager Data Analytics & Reporting,0.66,0.8,0.41,0.72,0.3
1383,"Manager, (Mixed Modeling, Analytics)",0.58,0.85,0.84,0.79,0.51
1384, Senior Manager - Analytics and Data Warehousing,0.68,0.83,0.43,0.67,0.28
1385, Services Administrator,0.54,0.71,0.69,0.91,0.62
1386,"Software Engineer, Database",0.66,0.83,0.38,0.69,0.33
1387, Database Coordinator,0.71,0.77,0.34,0.58,0.39
1388, Systems Administrator II,0.45,0.76,0.8,0.9,0.56
1389, ERP Sr Database Administrator,0.81,0.92,0.38,0.56,0.31
1390, Admissions and Database Administrator,0.8,0.78,0.3,0.73,0.2
1391,Provider Enrollment and Database Specialist,0.8,0.84,0.34,0.55,0.36
1392, Lab Support Administrator,0.42,0.81,0.79,0.94,0.69
1393,Database Administrator III,0.76,0.83,0.44,0.68,0.26
1394,MongoDB Admin,0.38,0.87,0.72,0.93,0.59
1395, Sr. Database Administrator,0.69,0.87,0.26,0.63,0.31
1396, Community Administrator,0.44,0.85,0.82,0.95,0.51
1397, Systems Administrator,0.39,0.81,0.84,0.97,0.67
1398, Resident Administrator - 20 hours/week,0.41,0.79,0.74,0.83,0.51
1399,ACE Initiative Site Administrator,0.54,0.75,0.7,0.82,0.69
1400,DONOR DATABASE ADMINISTRATOR,0.77,0.88,0.43,0.62,0.32
1401,Department Administrator - Hebrew And Judaic Studies,0.66,0.79,0.42,0.7,0.27
1402,Database Administrator- Foundation,0.73,0.86,0.25,0.6,0.24
1403," Oracle Database Administrator - PFU - Sunnyvale, CA",0.7,0.91,0.31,0.59,0.3
1404,"DB2 Database Administrator (Woodbury, MN)",0.82,0.8,0.27,0.62,0.35
1405,Academic Administrator (Graduate Guidance),0.91,0.61,0.74,0.76,0.47
1406,Oracle Database Administrator,0.75,0.76,0.45,0.63,0.23
1407, Database Administrator/Developer,0.78,0.81,0.37,0.67,0.29
1408, Leasing Administrator,0.52,0.75,0.74,0.91,0.63
1409, Implementation Project Administrator,0.51,0.78,0.78,0.83,0.69
1410, Database Administrator - SQL,0.73,0.9,0.25,0.59,0.3
1411, State Program Administrator Technical Specialist,0.53,0.81,0.84,0.9,0.6
1412,Database Administrator ServiceNow,0.67,0.91,0.3,0.73,0.38
1413,Claims Administrator,0.84,0.85,0.39,0.71,0.23
1414, Database Administrator V (Oracle Databas...,0.77,0.76,0.35,0.58,0.24
1415, Administrative Assistant,0.42,0.79,0.77,0.81,0.6
1416,SQL Database Administrator,0.69,0.86,0.38,0.66,0.35
1417, Edison Office Administrator,0.42,0.85,0.74,0.9,0.63
1418,Kronos Application Administrator,0.35,0.83,0.77,0.86,0.52
1419,Sr Database Administrator,0.67,0.93,0.39,0.58,0.27
1420,Database Administrator (DBA),0.77,0.92,0.26,0.6,0.38
1421,Database Administrator II,0.65,0.79,0.44,0.67,0.25
1422, Database Administrator,0.66,0.76,0.3,0.73,0.28
1423,Database Management Specialist ASU,0.79,0.93,0.33,0.59,0.3
1424, Collaborative Administrator,0.53,0.86,0.66,0.94,0.61
1425,Contract Administrator,0.53,0.72,0.76,0.98,0.58
1426,Office Administrator,0.45,0.71,0.71,0.86,0.69
1427, Senior Data Consultant,0.71,0.84,0.38,0.58,0.3
1428, Unified Administrator,0.5,0.87,0.78,0.93,0.53
1429, Database Administrator & Developer,0.84,0.78,0.4,0.6,0.39
1430,"Administrator, Database",0.79,0.9,0.29,0.64,0.32
1431, MySQL Database Administrator,0.8,0.77,0.44,0.73,0.25
1432,Database Administrator (F),0.81,0.85,0.34,0.61,0.32
1433, Project Administrator,0.5,0.78,0.78,0.94,0.64
1434,Database Analyst,0.66,0.92,0.34,0.6,0.25
1435, IT/Database Administrator (Early Career),0.75,0.93,0.33,0.7,0.22
1436,"E-Commerce Content Administrator - Anaheim, CA",0.45,0.9,0.8,0.84,0.6
1437, Staff Database Engineer (REF9853U),0.7,0.83,0.41,0.7,0.25
1438,Sales & Marketing Database Intern (Part-time),0.83,0.87,0.33,0.65,0.32
1439,Database Developer,0.76,0.85,0.35,0.59,0.36
1440,Database Administrator,0.76,0.78,0.4,0.74,0.39
1441, Resident Administrator,0.42,0.73,0.75,0.82,0.69
1442, Oracle Database Administrator,0.69,0.8,0.33,0.63,0.36
1443,Trademark Administrator,0.44,0.73,0.7,0.9,0.53
1444,IT SQL Database Administrator,0.77,0.86,0.39,0.74,0.38
1445,Sr. Database Administrator,0.84,0.8,0.28,0.61,0.38
1446, Human Resources Administrator,0.54,0.87,0.67,0.99,0.58
1447, Data Administrator,0.65,0.84,0.26,0.66,0.27
1448,MySQL Database Administrator,0.74,0.87,0.42,0.68,0.29
1449,Microsoft SQL Server Database Administrator,0.81,0.93,0.27,0.66,0.26
1450, JOIN BLUR'S RECRUITING DATABASE!,0.66,0.88,0.42,0.58,0.36
1451, Database Engineer,0.82,0.93,0.3,0.73,0.26
1452,Database Administrator (Loop 100K),0.76,0.76,0.26,0.69,0.29
1453,Database Administrator / DBA,0.7,0.79,0.38,0.55,0.36
1454, Database Analyst,0.67,0.79,0.33,0.65,0.27
1455,Aftermarket Senior Database Administrator,0.71,0.94,0.38,0.55,0.29
1456,Senior Database Administrator,0.83,0.81,0.27,0.7,0.32
1457,Server Administrator,0.46,0.71,0.68,0.92,0.54
1458, BILLING DATABASE SPECIALIST,0.75,0.86,0.31,0.74,0.37
1459,Database Coordinator - Real Estate Services,0.79,0.77,0.27,0.65,0.23
1460, NoSQL Database Administrator,0.85,0.78,0.35,0.62,0.33
1461,IT Inventory Administrator,0.38,0.79,0.7,0.98,0.51
1462, Purchasing/Inventory Control Administrator,0.53,0.87,0.71,0.96,0.51
1463,"Oracle Database Administrator, Senior",0.84,0.86,0.31,0.62,0.21
1464,PROGRAM ADMINISTRATOR,0.55,0.71,0.78,0.89,0.69
1465,RCIS - Database Analyst,0.7,0.86,0.35,0.69,0.21
1466,"Administrator I, Systems",0.39,0.74,0.8,0.84,0.61
1467, SAP Basis and Database Administrator,0.69,0.92,0.44,0.65,0.27
1468,Database Manager,0.7,0.76,0.3,0.68,0.31
1469, Agreement Administrator,0.54,0.78,0.79,0.9,0.6
1470,IT EDI/Database Administrator,0.7,0.84,0.34,0.69,0.39
1471, Database Administrator V,0.72,0.76,0.35,0.66,0.23
1472,Epic Willow Administrator,0.5,0.9,0.84,0.84,0.68
1473, System Administrator 3-IT,0.49,0.79,0.76,0.97,0.6
1474,Linux Administrator,0.87,0.55,0.67,0.64,0.53
1475, Database Developer,0.78,0.88,0.27,0.67,0.22
1476,Property Administrator,0.37,0.81,0.73,0.92,0.52
1477, Associate Professional Database Administrator,0.74,0.78,0.45,0.66,0.34
1478,SQL Server DBA,0.62,0.57,0.75,0.61,0.48
1479, Database Analyst 5,0.78,0.75,0.41,0.66,0.26
1480, System Administrator,0.36,0.73,0.83,0.94,0.55
1481, Technical Administrator,0.36,0.84,0.76,0.88,0.57
1482, Department Business Administrator,0.84,0.58,0.74,0.64,0.47
1483,Database Specialist - Med Staff - North Phoenix,0.73,0.84,0.3,0.72,0.3
1484,Database Systems Specialist,0.76,0.81,0.29,0.57,0.34
1485,Program Administrator,0.39,0.84,0.73,0.88,0.59
1486,Teradata Database Administrator Engineer,0.72,0.77,0.31,0.68,0.33
1487, IT Database Administrator,0.71,0.84,0.29,0.59,0.2
1488,"Database Administrator - Houston, TX",0.83,0.79,0.3,0.61,0.23
1489,"Software Engineer, Deep Learning",0.83,0.82,0.33,0.48,0.22
1490, Deep Learning Engineer,0.84,0.91,0.35,0.48,0.17
1491," Software Engineer, Behavior Prediction, Deep Learning",0.81,0.89,0.35,0.47,0.32
1492," SVP, Customer Experience & Insights",0.7,0.77,0.88,0.8,0.5
1493,Inventory Specialist,0.65,0.62,0.73,0.62,0.47
1494, Associate,0.43,0.87,0.78,0.92,0.57
1495,Inventory Control Specialist,0.71,0.56,0.72,0.65,0.48
1496,Global Account Executive,0.65,0.68,0.55,0.72,0.49
1497, Technician/Agent. Geek Squad Advance Repair,0.72,0.78,0.34,0.65,0.28
1498, Project Team Specialist - Overnight (Austin TX),0.69,0.63,0.74,0.67,0.56
1499,Trainer - Meetings and Events,0.67,0.83,0.32,0.66,0.37
1500,Geek Squad Depot Triage Agent,0.57,0.56,0.72,0.59,0.53
1501,Customer Service Specialist,0.66,0.72,0.58,0.58,0.51
1502, Communications/PR/Content Specialist,0.74,0.63,0.62,0.67,0.59
1503,Senior Deep Learning Research Scientist,0.82,0.95,0.25,0.57,0.32
1504,Nonprofit Digital Learning & Community Manager,0.66,0.71,0.85,0.91,0.46
1505,"Sales Consultant, Home Theater, Appliances, Gaming, and Entertainment",0.72,0.85,0.36,0.7,0.27
1506, DC Merchandise Processor eCommerce,0.67,0.67,0.66,0.68,0.45
1507,Deep Learning Software Engineer,0.72,0.82,0.34,0.45,0.32
1508,Staff Research Associate I/II,0.79,0.91,0.32,0.63,0.28
1509, Coordinator,0.59,0.56,0.67,0.75,0.43
1510, Drilling Instructor,0.56,0.71,0.6,0.72,0.54
1511,"Director, Customer Support",0.69,0.73,0.93,0.84,0.58
1512,Assistant Dean,0.64,0.59,0.65,0.66,0.56
1513," Program Manager, Learning & Development",0.65,0.78,0.82,0.89,0.55
1514, Background Investigator,0.73,0.73,0.56,0.71,0.41
1515,Deep Learning Computer Architect,0.77,0.91,0.33,0.5,0.15
1516,Best Buy Mobile Sales Consultant,0.53,0.77,0.94,0.93,0.59
1517, NMCI/RDT&E Seat Representative,0.68,0.63,0.55,0.57,0.51
1518,Function Manager,0.64,0.73,0.95,0.85,0.46
1519," SVP, PBM Operations",0.54,0.82,0.94,0.93,0.47
1520,Business Expert - The Domain (Full Time),0.85,0.79,0.25,0.75,0.26
1521,Deep Learning Scientist,0.78,0.79,0.37,0.73,0.26
1522,Sales Representative-Philadelphia Neuroscience Primary Care,0.63,0.69,0.92,0.82,0.49
1523, Learning Specialist,0.61,0.59,0.73,0.63,0.45
1524, Learning Experience Manager,0.59,0.71,0.95,0.94,0.54
1525, Deep Learning Compiler Engineer,0.87,0.91,0.33,0.49,0.25
1526,Elementary NILD Educational Therapist,0.68,0.73,0.64,0.73,0.55
1527," Manager, Talent Management",0.6,0.77,0.87,0.95,0.58
1528,Best Buy Apple Computing Master,0.56,0.62,0.67,0.56,0.4
1529,"Research Staff Member, Distributed Deep Learning Platform",0.74,0.82,0.34,0.6,0.23
1530," Sales Consultant - Gaming, Ent, DI",0.64,0.75,0.84,0.81,0.57
1531,Apple Mobile Master,0.56,0.58,0.56,0.71,0.55
1532,"Sales Consultant - HT, Gaming, Ent",0.65,0.79,0.93,0.85,0.58
1533,Computer Vision Engineer (Deep Learning/Satellite Imaging),0.71,0.92,0.46,0.45,0.22
1534, Executive Administrative Assistant,0.41,0.83,0.79,0.97,0.57
1535,Learning Producer,0.7,0.66,0.73,0.66,0.5
1536," Research Associate, Primary Research",0.77,0.9,0.44,0.56,0.21
1537,Merchandising Specialist,0.74,0.66,0.67,0.65,0.42
1538, Deep Learning Performance Architect,0.85,0.95,0.36,0.41,0.32
1539, Baker Helper,0.56,0.73,0.6,0.67,0.59
1540," Senior Strategist, MRM//McCann",0.69,0.63,0.69,0.62,0.46
